2025-01-01 16:24:35,445 - WARNING - Not Found: /favicon.ico
2025-01-01 16:39:21,810 - WARNING - Not Found: /model/create/
2025-01-01 18:59:07,245 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 18:59:18,940 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 18:59:22,882 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 18:59:34,338 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 18:59:39,482 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 18:59:56,373 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:00:01,195 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:00:21,308 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:00:42,454 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:01:06,705 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:01:43,926 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:01:50,379 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:01:54,504 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:09:04,453 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:12:39,220 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:12:45,610 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:12:53,712 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:13:01,028 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:13:30,641 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:13:34,698 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:13:38,327 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:13:57,145 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:14:13,435 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:23:23,814 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:23:29,143 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:23:33,277 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:24:01,849 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:24:23,059 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
